country,continent,region,gdp_per_capita
Jordan,Asia,Western Asia,4398
Kazakhstan,Asia,Central Asia,10225
Kenya,Africa,Eastern Africa,2082
Kiribati,Oceania,Micronesia,1702
Kuwait,Asia,Western Asia,32095
Kyrgyzstan,Asia,Central Asia,1296
Laos,Asia,South-Eastern Asia,2585
Latvia,Europe,Northern Europe,23278
Lebanon,Asia,Western Asia,4136
Lesotho,Africa,Sub-Saharan Africa,1106
Liberia,Africa,Sub-Saharan Africa,643
Libya,Africa,Northern Africa,7685
Liechtenstein,Europe,Western Europe,168146
Lithuania,Europe,Northern Europe,25973
Luxembourg,Europe,Western Europe,135605
Madagascar,Africa,Sub-Saharan Africa,502
Malawi,Africa,Sub-Saharan Africa,615
Malaysia,Asia,South-Eastern Asia,11109
Maldives,Asia,South Asia,10264
Mali,Africa,Sub-Saharan Africa,870
Malta,Europe,Southern Europe,33286
Marshall Islands,Oceania,Micronesia,4174
Mauritania,Africa,Sub-Saharan Africa,1961
Mauritius,Africa,Eastern Africa,9645
Mexico,Americas,North America,10045
Micronesia,Oceania,Micronesia,3914
Moldova,Europe,Eastern Europe,3407
Monaco,Europe,Western Europe,234317
Mongolia,Asia,Eastern Asia,4103
Montenegro,Europe,Southern Europe,9913
Morocco,Africa,Northern Africa,3442
Mozambique,Africa,Sub-Saharan Africa,486
Myanmar,Asia,South-Eastern Asia,1210
Namibia,Africa,Sub-Saharan Africa,5034
Nauru,Oceania,Micronesia,10835
Nepal,Asia,South Asia,1207
Netherlands,Europe,Western Europe,57768
New Zealand,Oceania,Australia and New Zealand,48781
Nicaragua,Americas,Central America,2051
Niger,Africa,Sub-Saharan Africa,554
Nigeria,Africa,Sub-Saharan Africa,2184
North Korea,Asia,Eastern Asia,1800
North Macedonia,Europe,Southern Europe,6752
Norway,Europe,Northern Europe,106149
Oman,Asia,Western Asia,21283
Pakistan,Asia,South Asia,1597
Palau,Oceania,Micronesia,13939
Panama,Americas,Central America,16088
Papua New Guinea,Oceania,Melanesia,2734
Paraguay,Americas,South America,5765
Peru,Americas,South America,6819
Philippines,Asia,South-Eastern Asia,3623
Poland,Europe,Eastern Europe,18000
Portugal,Europe,Southern Europe,24444
Qatar,Asia,Western Asia,83521
Romania,Europe,Eastern Europe,15873
Russia,Europe,Eastern Europe,12195
Rwanda,Africa,Eastern Africa,906
Saint Kitts and Nevis,Americas,Caribbean,20086
Saint Lucia,Americas,Caribbean,10928
Saint Vincent and the Grenadines,Americas,Caribbean,8561
Samoa,Oceania,Polynesia,4217
San Marino,Europe,Southern Europe,50690
Sao Tome and Principe,Africa,Sub-Saharan Africa,2327
Saudi Arabia,Asia,Western Asia,23185
Senegal,Africa,Sub-Saharan Africa,1596
Serbia,Europe,Southern Europe,9226
Seychelles,Africa,Eastern Africa,16985
Sierra Leone,Africa,Sub-Saharan Africa,528
Singapore,Asia,South-Eastern Asia,82808
Slovakia,Europe,Eastern Europe,21595
Slovenia,Europe,Southern Europe,29418
Solomon Islands,Oceania,Melanesia,2241
Somalia,Africa,Eastern Africa,455
South Africa,Africa,Sub-Saharan Africa,6994
South Korea,Asia,Eastern Asia,32423
South Sudan,Africa,Sub-Saharan Africa,1033
Spain,Europe,Southern Europe,30104
Sri Lanka,Asia,South Asia,3354
Sudan,Africa,Northern Africa,762
Suriname,Americas,South America,6402
Sweden,Europe,Northern Europe,61029
Switzerland,Europe,Western Europe,93720
Syria,Asia,Western Asia,533
Taiwan,Asia,Eastern Asia,35513
Tajikistan,Asia,Central Asia,1106
Tanzania,Africa,Eastern Africa,1136
Thailand,Asia,South-Eastern Asia,7808
Timor-Leste,Asia,South-Eastern Asia,1381
Togo,Africa,Sub-Saharan Africa,950
Tonga,Oceania,Polynesia,4408
Trinidad and Tobago,Americas,Caribbean,16348
Tunisia,Africa,Northern Africa,3807
Turkey,Asia,Western Asia,10674
Turkmenistan,Asia,Central Asia,8161
Tuvalu,Oceania,Polynesia,4904
Uganda,Africa,Eastern Africa,883
Ukraine,Europe,Eastern Europe,4534
United Arab Emirates,Asia,Western Asia,49016
United Kingdom,Europe,Northern Europe,46371
United States,Americas,North America,76399
Uruguay,Americas,South America,17214
Uzbekistan,Asia,Central Asia,2255
Vanuatu,Oceania,Melanesia,3187
Venezuela,Americas,South America,1481
Vietnam,Asia,South-Eastern Asia,4163
Yemen,Asia,Western Asia,659
Zambia,Africa,Sub-Saharan Africa,1170
Zimbabwe,Africa,Sub-Saharan Africa,1694
Hong Kong,Asia,Eastern Asia,49661
Macau,Asia,Eastern Asia,43903
Puerto Rico,Americas,Caribbean,34000
Palestine,Asia,Western Asia,3663
Kosovo,Europe,Southern Europe,5359
Taiwan,Asia,Eastern Asia,35513
